9	1	1e-05
17	1	0
33	1	0
44	1	0
49	1	4.5e-05
55	1	0
68	1	0
79	1	0
86	1	4.5e-05
91	3	0.002795
98	2	0.000805
104	3	0.01628
110	1	1e-05
117	1	0
127	1	0
135	2	0.034515
141	1	1e-05
147	2	0.006255
152	1	0
160	1	4.5e-05
166	1	0
175	1	0
183	1	0
190	2	0.003515
196	1	0
204	1	0
213	1	0
222	1	0
229	1	0
242	1	0
248	2	0.028165
255	1	0
263	1	0
268	2	0.00285
273	1	0
285	1	0
295	1	0
302	2	0.000805
307	3	0.000805
313	1	4.5e-05
322	1	0
330	1	0
336	2	6e-05
343	3	0.00477
348	1	0
357	1	0
367	1	0
373	1	0
384	1	0
394	1	0
406	1	0
413	2	1
419	1	0
425	2	0.0304
430	1	0
437	1	0
446	1	1e-05
452	1	0
467	1	0
475	1	0
486	1	0
495	1	0
502	2	0.01514
508	1	0
517	1	0
526	1	0
533	1	0
546	1	0
553	1	1e-05
558	1	0
563	1	0
568	2	0.00489
575	1	0
584	1	0
590	1	0
599	1	0
605	2	0.003975
611	1	0
620	1	0
629	1	0
638	2	0.00133
643	1	0
651	1	0
660	1	0
667	1	0
677	1	0
687	1	0
695	3	0.0003
700	2	0.00014
707	1	0
713	1	0
718	1	0
724	2	0.000105
738	1	0
750	1	0
757	1	0
765	1	0
772	1	0
778	2	0.00031
784	1	0
797	1	0
802	2	1
807	1	0
815	1	0
832	1	0
839	2	0.027035
850	1	0
857	3	0.04713
863	2	0.00013
870	3	0.001645
879	1	0
1129	1	0
1136	3	0.042375
1141	2	0.000805
1151	1	0
1161	1	0
1170	1	0
1181	1	0
1189	1	0
1199	1	0
1206	2	0.020365
1215	1	0
1223	1	0
1229	2	0.0016
1235	1	0
1243	1	0
1249	2	0.00014
1259	1	0
1265	1	1e-05
1270	2	0.02488
1279	1	0
1290	1	0
1296	2	0.00014
1302	1	0
1313	1	0
1322	1	0
1330	1	0
1338	1	0
1350	1	0
1357	2	0.009925
1362	1	0
1375	1	0
1382	2	6e-05
1389	1	0
1396	2	0.0003
1403	1	1e-05
1409	4	0.01403
1415	3	0.03673
1420	2	0.000105
1427	1	0
1434	1	0
1445	1	0
1450	2	0.001645
1455	3	0.01372
1461	1	0
1470	1	0
1477	3	0.00485
1482	2	0.0042
1490	1	0
1500	1	0
1506	2	0.001995
1513	3	0.00913
1519	1	0
1525	1	0
1533	1	1e-05
1540	2	0.01315
1548	1	0
1558	1	0
1567	1	0
1577	1	0
1586	1	0
1593	1	0
1604	1	0
1614	1	0
1623	1	0
1630	1	0
1637	1	0
1646	1	0
1652	1	1e-05
1657	2	0.00138
1664	1	0
1674	1	0
1679	2	0.00014
1686	1	0
1693	2	6e-05
1698	1	0
1708	1	0
1713	2	0.000105
1722	1	0
1729	2	0.000855
1735	1	0
1744	1	0
1751	1	4.5e-05
1756	1	0
1766	1	0
1771	2	0.009345
1777	1	0
1786	1	0
1791	2	0.00979
1796	1	1e-05
1803	1	0
1814	1	0
1822	1	0
1832	1	0
1839	2	0.01562
1844	1	1e-05
1851	3	0.000105
1856	2	0.00014
1861	4	0.008805
1869	3	0.00031
1874	4	0.00971
1881	1	0
1890	2	0.02056
1895	1	0
1906	1	0
1918	1	0
1927	3	0.000105
1932	2	0.0003
1938	3	0.00014
1946	1	0
1955	1	0
1967	1	0
1972	2	0.02277
1978	1	0
1985	2	0.00014
1990	1	0
1999	1	0
2008	1	0
2013	1	0
2021	1	0
2030	1	0
2037	2	0.007815
2042	1	0
2050	1	0
2059	3	0.000105
2064	2	0.00014
2070	1	4.5e-05
2078	1	0
2083	1	0
2092	1	0
2097	4	0.01253
2105	3	0.00031
2110	2	0.000105
2115	1	0
2128	1	0
2137	3	0.023885
2142	2	0.01342
2148	1	0
2157	1	0
2163	1	0
2176	1	0
2187	1	0
2196	1	0
2205	1	0
2212	2	0.015545
